Team,W,L,T,AverageYards,CompletionRate,Location,Location.1,State,long,lat,group,order,subregion
LA,13,3,0,8.13,63.48,California,California,california,-118.39026641845703,33.804508209228516,4,801,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.37307739257812,33.82742691040039,4,802,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.36735534667969,33.856075286865234,4,803,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.39026641845703,33.91337203979492,4,804,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.44183349609375,33.98212814331055,4,805,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.45329284667969,34.010772705078125,4,806,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.48194122314453,34.0279655456543,4,807,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.53350830078125,34.03942108154297,4,808,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.6595687866211,34.050880432128906,4,809,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.72831726074219,34.03942108154297,4,810,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.7741470336914,34.03369140625,4,811,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.80853271484375,34.03942108154297,4,812,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.9288558959961,34.06807327270508,4,813,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.94603729248047,34.07952880859375,4,814,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.99188232421875,34.09099197387695,4,815,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.02625274658203,34.11963653564453,4,816,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.05489349365234,34.11963653564453,4,817,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.10073852539062,34.11390686035156,4,818,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.15803527832031,34.15401077270508,4,819,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.19813537597656,34.22850036621094,4,820,NA
